ID_employe,Age,Attrition,BusinessTravel,Department,Education,EnvironmentSatisfaction,Gender,JobInvolvement,Job Role,JobSatisfaction,PerformanceRating,WorkLifeBalance,MaritalStatus,StockOption,OverTime,PercentSalaryHike,NumCompaniesWorked,TotalWorkingYears,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHome,HourlyRate,DailyRate,MonthlyRate,Salary,TrainingTimesLastYear,DateToday,DateBirth,DateStart,DateDeparture,YearsAtCompany,AgeGroup,TerminationType,AgeHire,HireType,YearsAtCompany Group,EmploymentType
1522,37,Yes,Travel_Rarely,Research & Development,Master,Low,Male,Medium,Research Scientist,Low,Excellent,Bad,Single,None,No,13,6,11,0,7,1,100,224,7568,2362,2,31/07/2022,24/05/1984,02/09/2001,27/01/2010,8,3_Between 30 and 40,1,29,1,4_Between 5-10 years,Full-time
1101,42,Yes,Travel_Frequently,Research & Development,Master,Low,Female,Medium,Research Scientist,High,Outstanding,Better,Single,None,No,22,1,14,3,8,29,54,827,3129,4508,4,31/07/2022,06/01/1980,13/01/1998,26/04/2010,12,4_Between 40 and 50,1,30,1,5_Between 10-15 years,Full-time
1299,29,Yes,Travel_Rarely,Research & Development,Bachelor,Medium,Female,High,Laboratory Technician,High,Excellent,Better,Divorced,Mid,Yes,13,3,10,7,7,7,39,806,17285,3339,2,31/07/2022,08/11/1993,14/04/2009,27/10/2015,7,2_Between 20 and 30,2,22,1,4_Between 5-10 years,Contractor
1457,46,Yes,Travel_Rarely,Sales,Bachelor,Low,Male,High,Sales Executive,Very High,Good,Best,Divorced,Low,No,11,4,28,4,3,9,52,377,15986,10096,1,31/07/2022,06/09/1976,24/07/2009,27/04/2016,7,4_Between 40 and 50,1,39,1,4_Between 5-10 years,Full-time
1807,34,Yes,Travel_Frequently,Research & Development,Master,Very High,Male,High,Laboratory Technician,Low,Low,Good,Married,Low,No,17,4,11,0,6,9,93,234,6208,5346,3,31/07/2022,19/08/1988,15/04/2010,15/05/2016,6,3_Between 30 and 40,2,28,1,4_Between 5-10 years,Full-time
299,30,Yes,Travel_Frequently,Sales,Master,High,Female,Medium,Sales Executive,Low,Excellent,Good,Single,None,No,15,5,9,0,1,26,52,334,22967,6696,5,31/07/2022,10/09/1992,24/02/2011,24/11/2016,6,3_Between 30 and 40,2,24,1,4_Between 5-10 years,Full-time
300,29,Yes,Travel_Rarely,Research & Development,Bachelor,High,Male,High,Research Scientist,High,Excellent,Good,Single,None,No,14,0,7,1,5,1,85,992,19757,2058,1,31/07/2022,12/07/1994,14/02/2011,08/12/2016,6,2_Between 20 and 30,1,23,1,4_Between 5-10 years,Full-time
1200,44,Yes,Travel_Rarely,Research & Development,Master,High,Male,High,Research Scientist,High,Low,Better,Single,None,Yes,11,1,6,0,2,10,96,1097,10826,2936,4,31/07/2022,28/09/1978,16/06/2011,26/12/2016,6,4_Between 40 and 50,1,38,1,4_Between 5-10 years,Full-time
1295,44,Yes,Travel_Rarely,Research & Development,Bachelor,Low,Female,High,Healthcare Representative,Very High,Good,Better,Married,Low,No,11,1,10,0,5,15,73,621,14075,7978,2,31/07/2022,24/09/1978,06/12/2007,02/01/2017,9,4_Between 40 and 50,1,35,1,4_Between 5-10 years,Full-time
647,33,Yes,Travel_Frequently,Research & Development,Bachelor,Low,Female,High,Laboratory Technician,High,Excellent,Better,Married,Low,Yes,16,1,6,1,2,7,55,1287,14168,2886,4,31/07/2022,08/10/1988,25/11/2011,25/01/2017,5,3_Between 30 and 40,1,28,1,3_Between 3-5 years,Full-time
